SEQN,age,gender,screen_hours,sleep_hours,PAQ710,PAQ715,PAD680,weight,SDMVPSU,SDMVSTRA
87386.0,35.0,Male,8.0,7.5,5.397605346934028e-79,8.0,,5.397605346934028e-79,2.0,133.0
87387.0,63.0,Male,10.0,9.0,2.0,8.0,,16474.316759,2.0,119.0
87388.0,70.0,Female,10.0,9.0,2.0,8.0,,27395.607975,1.0,126.0
87389.0,63.0,Female,10.0,8.5,2.0,8.0,,17672.441216,1.0,124.0
87391.0,21.0,Male,2.0,11.0,5.397605346934028e-79,2.0,,152374.34405,1.0,122.0
87392.0,80.0,Female,3.0,12.0,3.0,5.397605346934028e-79,,5.397605346934028e-79,1.0,133.0
87393.0,26.0,Male,8.0,9.0,4.0,4.0,,29876.956506,1.0,133.0
87398.0,40.0,Male,10.0,6.5,2.0,8.0,,51269.112893,2.0,127.0
87400.0,56.0,Female,12.0,9.0,4.0,8.0,,20271.712208,1.0,127.0
87406.0,22.0,Male,10.0,9.0,8.0,2.0,,20692.509603,2.0,129.0
87408.0,16.0,Female,1.0795210693868056e-78,8.0,5.397605346934028e-79,5.397605346934028e-79,,10059.9833,1.0,123.0
87409.0,44.0,Female,6.0,8.0,1.0,5.0,,16662.322298,2.0,133.0
87412.0,33.0,Male,7.0,7.0,5.0,2.0,,23936.357051,1.0,124.0
87413.0,41.0,Male,5.0,6.0,2.0,3.0,,19387.080875,1.0,123.0
87415.0,59.0,Male,3.0,8.0,1.0,2.0,,43145.510098,2.0,127.0
87416.0,69.0,Female,1.0795210693868056e-78,10.0,5.397605346934028e-79,5.397605346934028e-79,30.0,10389.86344,1.0,122.0
87417.0,60.0,Male,13.0,8.0,5.0,8.0,,15570.452282,1.0,132.0
87418.0,31.0,Female,13.0,9.5,5.0,8.0,,18910.989689,1.0,125.0
87422.0,20.0,Male,5.0,8.0,5.0,5.397605346934028e-79,,43713.74416,1.0,131.0
87423.0,31.0,Female,1.0795210693868056e-78,12.0,5.397605346934028e-79,5.397605346934028e-79,,118479.71805,2.0,125.0
87425.0,79.0,Female,6.0,8.5,5.0,1.0,,87471.751869,1.0,128.0
87426.0,48.0,Male,11.0,8.5,3.0,8.0,,20948.339775,2.0,128.0
87427.0,22.0,Female,8.0,6.0,5.397605346934028e-79,8.0,20.0,25379.262036,2.0,130.0
87428.0,58.0,Male,3.0,6.5,3.0,5.397605346934028e-79,,33696.952796,2.0,133.0
87429.0,65.0,Female,8.0,10.0,3.0,5.0,,51138.40058,1.0,125.0
87430.0,38.0,Male,9.0,7.5,1.0,8.0,,80554.713521,1.0,131.0
87432.0,18.0,Female,8.0,10.5,5.0,3.0,,5.397605346934028e-79,1.0,119.0
87433.0,74.0,Male,11.0,9.0,3.0,8.0,,10054.514758,1.0,121.0
87435.0,80.0,Male,10.0,10.0,2.0,8.0,,10722.692186,1.0,127.0
87436.0,36.0,Female,2.0,8.0,1.0,1.0,60.0,23411.220472,1.0,120.0
87437.0,43.0,Male,9.0,8.0,1.0,8.0,,21802.893183,2.0,122.0
